{'FarPoints'},,,,,,,,,,,,,,,,,,
Datos,Shape,Gaussian,Rigid,Section,C1 std dev,C2 std dev,Rel. error,Global rotation X,Global rotation Y,Global rotation Z,Global translation X,Global translation Y,Global translation Z,Av. movement,Av. error,RMSE,Improv. (%),Final Vs Mov (%)
,,Mov.(mm)
Depth (mm),Shape,Gaussian,Rigid,,,,,X,Y,Z,X,Y,Z,,,,,
20,Planar,"2,5",0,INITIAL,"2,33","3,46","2,06e-01","1,00","1,00","1,00","0,0","0,0","0,0","3,97","4,70","5,46",,
20,Planar,"2,5",0,1 / 20,"0,99","1,05","2,14e-02","1,00","1,00","1,00","-14,99","0,55","-5,58",,"5,85","6,79",,
20,Planar,"2,5",0,2 / 20,"1,17","0,99","5,81e-03","1,00","1,00","1,00","-15,14","1,21","-5,11",,"5,68","6,54",,
20,Planar,"2,5",0,3 / 20,"1,39","1,11","2,48e-03","1,00","1,00","1,00","-14,94","1,4","-4,94",,"5,69","6,52",,
20,Planar,"2,5",0,4 / 20,"1,47","1,04","1,49e-03","1,00","1,00","1,00","-14,83","1,62","-4,75",,"5,69","6,49",,
20,Planar,"2,5",0,5 / 20,"1,53","1,06","9,90e-04","1,00","1,00","1,00","-14,71","1,74","-4,75",,"5,70","6,48",,
20,Planar,"2,5",0,6 / 20,"1,52","1,00","8,33e-04","1,00","1,00","1,00","-14,62","1,85","-4,69",,"5,69","6,46",,
20,Planar,"2,5",0,7 / 20,"1,43","0,90","9,17e-04","1,00","1,00","1,00","-14,58","1,95","-4,57",,"5,67","6,43",,
20,Planar,"2,5",0,8 / 20,"1,44","0,91","8,30e-04","1,00","1,00","1,00","-14,54","1,99","-4,6",,"5,67","6,43",,
20,Planar,"2,5",0,9 / 20,"1,42","0,90","8,16e-04","1,00","1,00","1,00","-14,51","2,05","-4,54",,"5,66","6,42",,
20,Planar,"2,5",0,10 / 20,"1,40","0,88","7,76e-04","1,00","1,00","1,00","-14,47","2,16","-4,43",,"5,64","6,40",,
20,Planar,"2,5",0,11 / 20,"1,40","0,88","7,14e-04","1,00","1,00","1,00","-14,43","2,25","-4,33",,"5,64","6,38",,
20,Planar,"2,5",0,12 / 20,"1,27","0,76","1,03e-03","1,00","1,00","1,00","-14,38","2,29","-4,32",,"5,60","6,36",,
20,Planar,"2,5",0,13 / 20,"1,29","0,80","9,05e-04","1,00","1,00","1,00","-14,4","2,34","-4,25",,"5,60","6,35",,
20,Planar,"2,5",0,14 / 20,"1,32","0,83","7,67e-04","1,00","1,00","1,00","-14,35","2,45","-4,19",,"5,60","6,34",,
20,Planar,"2,5",0,15 / 20,"1,35","0,86","6,74e-04","1,00","1,00","1,00","-14,32","2,54","-4,11",,"5,59","6,33",,
20,Planar,"2,5",0,16 / 20,"1,33","0,84","7,02e-04","1,00","1,00","1,00","-14,27","2,58","-4,07",,"5,59","6,32",,
20,Planar,"2,5",0,17 / 20,"1,25","0,76","8,76e-04","1,00","1,00","1,00","-14,27","2,66","-3,97",,"5,56","6,30",,
20,Planar,"2,5",0,18 / 20,"1,30","0,82","7,26e-04","1,00","1,00","1,00","-14,22","2,73","-3,94",,"5,56","6,29",,
20,Planar,"2,5",0,19 / 20,"1,19","0,73","9,76e-04","1,00","1,00","1,00","-14,19","2,84","-3,83",,"5,52","6,26",,
20,Planar,"2,5",0,FINAL,"1,23","0,77","8,34e-04","1,00","1,00","1,00","-14,17","2,94","-3,75","3,97","5,51","6,25","-17,24","138,83"
20,Planar,0,"2,5",INITIAL,"1,96","2,26","1,08e-01","1,00","1,00","1,00","0,0","0,0","0,0","2,50","4,49","5,25",,
20,Planar,0,"2,5",1 / 20,"0,83","1,23","8,54e-03","1,00","1,00","1,00","-3,82","7,76","-5,41",,"3,84","4,49",,
20,Planar,0,"2,5",2 / 20,"1,18","1,62","1,94e-03","1,00","1,00","1,00","-3,8","8,2","-5,31",,"3,63","4,23",,
20,Planar,0,"2,5",3 / 20,"1,02","1,02","1,16e-03","1,00","1,00","1,00","-3,8","8,0","-5,41",,"3,45","4,04",,
20,Planar,0,"2,5",4 / 20,"1,08","1,05","6,48e-04","1,00","1,00","1,00","-3,81","8,12","-5,37",,"3,40","4,00",,
20,Planar,0,"2,5",5 / 20,"1,04","0,83","4,32e-04","1,00","1,00","1,00","-3,83","8,11","-5,39",,"3,28","3,88",,
20,Planar,0,"2,5",6 / 20,"0,97","0,71","4,11e-04","1,00","1,00","1,00","-3,82","8,12","-5,33",,"3,24","3,84",,
20,Planar,0,"2,5",7 / 20,"0,94","0,64","3,42e-04","1,00","1,00","1,00","-3,83","8,11","-5,37",,"3,17","3,78",,
20,Planar,0,"2,5",8 / 20,"0,95","0,65","3,09e-04","1,00","1,00","1,00","-3,83","8,11","-5,29",,"3,16","3,76",,
20,Planar,0,"2,5",9 / 20,"0,91","0,59","3,00e-04","1,00","1,00","1,00","-3,83","8,1","-5,31",,"3,12","3,73",,
20,Planar,0,"2,5",10 / 20,"0,85","0,53","2,99e-04","1,00","1,00","1,00","-3,84","8,09","-5,33",,"3,08","3,70",,
20,Planar,0,"2,5",11 / 20,"0,82","0,51","2,93e-04","1,00","1,00","1,00","-3,83","8,08","-5,22",,"3,06","3,67",,
20,Planar,0,"2,5",12 / 20,"0,77","0,47","2,88e-04","1,00","1,00","1,00","-3,84","8,06","-5,22",,"3,03","3,65",,
20,Planar,0,"2,5",13 / 20,"0,75","0,46","2,85e-04","1,00","1,00","1,00","-3,84","8,05","-5,2",,"3,02","3,64",,
20,Planar,0,"2,5",14 / 20,"0,72","0,44","2,82e-04","1,00","1,00","1,00","-3,84","8,04","-5,21",,"3,01","3,62",,
20,Planar,0,"2,5",15 / 20,"0,70","0,42","2,79e-04","1,00","1,00","1,00","-3,84","8,03","-5,2",,"3,00","3,61",,
20,Planar,0,"2,5",16 / 20,"0,68","0,42","2,78e-04","1,00","1,00","1,00","-3,84","8,02","-5,16",,"2,99","3,61",,
20,Planar,0,"2,5",17 / 20,"0,67","0,41","2,76e-04","1,00","1,00","1,00","-3,84","8,01","-5,19",,"2,99","3,60",,
20,Planar,0,"2,5",18 / 20,"0,65","0,39","2,74e-04","1,00","1,00","1,00","-3,84","8,0","-5,15",,"2,98","3,59",,
20,Planar,0,"2,5",19 / 20,"0,62","0,38","2,72e-04","1,00","1,00","1,00","-3,85","7,98","-5,14",,"2,97","3,58",,
20,Planar,0,"2,5",FINAL,"0,59","0,36","2,69e-04","1,00","1,00","1,00","-3,85","7,95","-5,11","2,50","2,96","3,57","34,17","118,26"
20,Planar,"2,5","2,5",INITIAL,"2,81","4,07","2,09e-01","1,00","1,00","1,00","0,0","0,0","0,0","4,94","4,97","5,68",,
20,Planar,"2,5","2,5",1 / 20,"2,20","3,78","1,51e-02","1,00","1,00","1,00","-16,29","13,43","-10,78",,"10,67","12,50",,
20,Planar,"2,5","2,5",2 / 20,"1,14","1,04","4,58e-03","1,00","1,00","1,00","-15,41","13,2","-10,91",,"10,15","12,14",,
20,Planar,"2,5","2,5",3 / 20,"1,35","1,05","2,03e-03","1,00","1,00","1,00","-15,41","13,28","-11,03",,"10,16","12,12",,
20,Planar,"2,5","2,5",4 / 20,"1,34","0,87","1,86e-03","1,00","1,00","1,00","-15,32","13,33","-10,82",,"10,15","12,11",,
20,Planar,"2,5","2,5",5 / 20,"1,40","0,88","1,56e-03","1,00","1,00","1,00","-15,34","13,33","-10,98",,"10,16","12,11",,
20,Planar,"2,5","2,5",6 / 20,"1,36","0,79","1,55e-03","1,00","1,00","1,00","-15,29","13,38","-10,82",,"10,15","12,10",,
20,Planar,"2,5","2,5",7 / 20,"1,38","0,80","1,45e-03","1,00","1,00","1,00","-15,28","13,39","-10,87",,"10,15","12,09",,
20,Planar,"2,5","2,5",8 / 20,"1,37","0,79","1,41e-03","1,00","1,00","1,00","-15,26","13,42","-10,81",,"10,15","12,09",,
20,Planar,"2,5","2,5",9 / 20,"1,33","0,74","1,47e-03","1,00","1,00","1,00","-15,25","13,43","-10,83",,"10,15","12,08",,
20,Planar,"2,5","2,5",10 / 20,"1,36","0,78","1,35e-03","1,00","1,00","1,00","-15,24","13,45","-10,81",,"10,15","12,07",,
20,Planar,"2,5","2,5",11 / 20,"1,31","0,73","1,44e-03","1,00","1,00","1,00","-15,23","13,47","-10,74",,"10,14","12,07",,
20,Planar,"2,5","2,5",12 / 20,"1,26","0,68","1,54e-03","1,00","1,00","1,00","-15,21","13,48","-10,78",,"10,13","12,06",,
20,Planar,"2,5","2,5",13 / 20,"1,26","0,70","1,50e-03","1,00","1,00","1,00","-15,21","13,5","-10,69",,"10,13","12,05",,
20,Planar,"2,5","2,5",14 / 20,"1,19","0,64","1,67e-03","1,00","1,00","1,00","-15,19","13,52","-10,73",,"10,11","12,04",,
20,Planar,"2,5","2,5",15 / 20,"1,20","0,67","1,57e-03","1,00","1,00","1,00","-15,18","13,54","-10,69",,"10,11","12,03",,
20,Planar,"2,5","2,5",16 / 20,"1,19","0,66","1,57e-03","1,00","1,00","1,00","-15,17","13,57","-10,64",,"10,11","12,02",,
20,Planar,"2,5","2,5",17 / 20,"1,19","0,66","1,53e-03","1,00","1,00","1,00","-15,16","13,62","-10,57",,"10,10","12,00",,
20,Planar,"2,5","2,5",18 / 20,"1,23","0,70","1,38e-03","1,00","1,00","1,00","-15,15","13,66","-10,51",,"10,10","11,99",,
20,Planar,"2,5","2,5",19 / 20,"1,20","0,66","1,49e-03","1,00","1,00","1,00","-15,13","13,68","-10,53",,"10,09","11,99",,
20,Planar,"2,5","2,5",FINAL,"1,18","0,65","1,53e-03","1,00","1,00","1,00","-15,14","13,69","-10,5","4,94","10,09","11,98","-103,09","204,14"
20,Planar,10,0,INITIAL,"7,51","10,52","1,67e+00","1,00","1,00","1,00","0,0","0,0","0,0","15,27","9,10","9,92",,
20,Planar,10,0,1 / 20,"3,85","8,02","1,23e-01","0,99","1,00","1,00","-32,63","0,62","-21,0",,"37,17","42,34",,
20,Planar,10,0,2 / 20,"1,07","1,15","1,12e-01","0,99","1,00","1,00","-32,23","1,03","-21,14",,"37,28","42,54",,
20,Planar,10,0,3 / 20,"1,11","1,01","7,76e-02","0,99","0,99","1,00","-31,84","1,54","-20,41",,"37,58","42,76",,
20,Planar,10,0,4 / 20,"1,25","0,89","6,81e-02","0,99","0,99","1,00","-32,07","2,27","-20,31",,"37,79","42,93",,
20,Planar,10,0,5 / 20,"0,88","1,21","7,08e-02","0,99","0,99","1,00","-31,98","2,71","-19,76",,"37,99","43,10",,
20,Planar,10,0,6 / 20,"1,26","0,86","5,94e-02","0,99","0,99","1,00","-32,3","3,13","-19,52",,"38,19","43,23",,
20,Planar,10,0,7 / 20,"1,02","0,93","6,05e-02","0,99","0,99","1,00","-32,81","3,61","-19,44",,"38,34","43,37",,
20,Planar,10,0,8 / 20,"1,23","0,84","5,61e-02","0,99","0,99","1,00","-32,53","3,89","-19,2",,"38,40","43,41",,
20,Planar,10,0,9 / 20,"1,15","0,88","5,84e-02","0,99","0,99","1,00","-32,69","4,12","-19,15",,"38,47","43,46",,
20,Planar,10,0,10 / 20,"1,18","0,79","5,71e-02","0,99","0,99","1,00","-32,75","4,24","-19,04",,"38,52","43,50",,
20,Planar,10,0,11 / 20,"1,16","1,00","5,74e-02","0,99","0,99","1,00","-32,96","4,37","-18,96",,"38,60","43,57",,
20,Planar,10,0,12 / 20,"1,22","0,79","5,83e-02","0,99","0,99","1,00","-32,93","4,57","-18,91",,"38,66","43,61",,
20,Planar,10,0,13 / 20,"0,99","0,92","6,18e-02","0,99","0,99","1,00","-33,26","4,63","-18,8",,"38,73","43,69",,
20,Planar,10,0,14 / 20,"1,29","0,88","5,60e-02","0,99","0,99","1,00","-33,53","5,02","-18,67",,"38,91","43,82",,
20,Planar,10,0,15 / 20,"1,09","0,80","5,79e-02","0,99","0,99","1,00","-33,63","5,16","-18,6",,"38,95","43,86",,
20,Planar,10,0,16 / 20,"1,16","0,77","5,85e-02","0,99","0,99","1,00","-33,8","5,32","-18,58",,"39,01","43,91",,
20,Planar,10,0,17 / 20,"1,18","0,80","5,66e-02","0,99","0,99","1,00","-33,82","5,48","-18,52",,"39,08","43,96",,
20,Planar,10,0,18 / 20,"1,00","0,87","6,13e-02","0,99","0,99","1,00","-34,06","5,51","-18,47",,"39,16","44,04",,
20,Planar,10,0,19 / 20,"1,19","0,78","5,77e-02","0,99","0,99","1,00","-34,28","5,72","-18,39",,"39,27","44,12",,
20,Planar,10,0,FINAL,"1,20","0,76","5,71e-02","0,99","0,99","1,00","-34,52","5,92","-18,39","15,27","39,35","44,19","-332,21","257,65"
20,Planar,0,10,INITIAL,"4,76","6,35","1,05e-01","1,00","1,00","1,00","0,0","0,0","0,0","10,00","6,57","7,17",,
20,Planar,0,10,1 / 20,"1,03","1,00","8,68e-03","1,00","1,00","1,00","-10,22","8,14","-11,71",,"4,39","5,04",,
20,Planar,0,10,2 / 20,"1,02","0,68","1,77e-03","1,00","1,00","1,00","-10,13","8,13","-11,66",,"3,95","4,62",,
20,Planar,0,10,3 / 20,"1,08","0,71","7,39e-04","1,00","1,00","1,00","-10,08","8,21","-11,53",,"3,81","4,47",,
20,Planar,0,10,4 / 20,"1,05","0,45","2,48e-04","1,00","1,00","1,00","-10,04","8,11","-11,24",,"3,56","4,19",,
20,Planar,0,10,5 / 20,"1,06","0,45","2,14e-04","1,00","1,00","1,00","-10,03","8,11","-11,22",,"3,54","4,17",,
20,Planar,0,10,6 / 20,"1,09","0,46","1,49e-04","1,00","1,00","1,00","-10,01","8,1","-11,15",,"3,49","4,11",,
20,Planar,0,10,7 / 20,"1,11","0,48","1,24e-04","1,00","1,00","1,00","-10,0","8,1","-11,13",,"3,48","4,09",,
20,Planar,0,10,8 / 20,"1,12","0,47","1,12e-04","1,00","1,00","1,00","-9,99","8,09","-11,1",,"3,46","4,07",,
20,Planar,0,10,9 / 20,"1,11","0,45","1,08e-04","1,00","1,00","1,00","-9,98","8,09","-11,07",,"3,45","4,05",,
20,Planar,0,10,10 / 20,"1,11","0,45","9,90e-05","1,00","1,00","1,00","-9,97","8,09","-11,04",,"3,43","4,03",,
20,Planar,0,10,11 / 20,"1,10","0,44","9,55e-05","1,00","1,00","1,00","-9,96","8,08","-11,01",,"3,41","4,01",,
20,Planar,0,10,12 / 20,"1,08","0,42","9,43e-05","1,00","1,00","1,00","-9,94","8,08","-10,97",,"3,39","3,98",,
20,Planar,0,10,13 / 20,"1,06","0,41","9,35e-05","1,00","1,00","1,00","-9,93","8,08","-10,93",,"3,36","3,95",,
20,Planar,0,10,14 / 20,"1,05","0,39","9,32e-05","1,00","1,00","1,00","-9,92","8,07","-10,9",,"3,34","3,93",,
20,Planar,0,10,15 / 20,"1,03","0,38","9,37e-05","1,00","1,00","1,00","-9,9","8,07","-10,86",,"3,32","3,91",,
20,Planar,0,10,16 / 20,"1,02","0,37","9,42e-05","1,00","1,00","1,00","-9,91","8,07","-10,81",,"3,30","3,88",,
20,Planar,0,10,17 / 20,"1,00","0,37","9,46e-05","1,00","1,00","1,00","-9,88","8,06","-10,8",,"3,28","3,86",,
20,Planar,0,10,18 / 20,"0,98","0,36","9,56e-05","1,00","1,00","1,00","-9,88","8,06","-10,73",,"3,25","3,83",,
20,Planar,0,10,19 / 20,"0,97","0,35","9,68e-05","1,00","1,00","1,00","-9,87","8,05","-10,7",,"3,24","3,81",,
20,Planar,0,10,FINAL,"0,96","0,34","9,81e-05","1,00","1,00","1,00","-9,87","8,05","-10,65","10,00","3,22","3,79","51,02","32,18"
20,Planar,10,10,INITIAL,"8,85","13,25","1,72e+00","1,00","1,00","1,00","0,0","0,0","0,0","18,60","10,45","11,38",,
20,Planar,10,10,1 / 20,"3,11","4,10","2,02e-01","1,00","1,00","1,00","-33,95","3,4","-30,21",,"19,15","23,58",,
20,Planar,10,10,2 / 20,"1,35","1,64","1,24e-01","1,00","1,00","1,00","-34,75","3,67","-30,02",,"19,55","24,50",,
20,Planar,10,10,3 / 20,"1,35","1,14","7,74e-02","0,99","0,99","1,00","-35,61","4,67","-30,37",,"20,34","25,26",,
20,Planar,10,10,4 / 20,"1,24","1,02","6,73e-02","0,99","0,99","1,00","-35,87","5,26","-30,46",,"20,71","25,71",,
20,Planar,10,10,5 / 20,"1,35","0,83","6,48e-02","0,99","0,99","1,00","-35,95","5,56","-30,01",,"20,89","25,87",,
20,Planar,10,10,6 / 20,"1,62","1,01","5,85e-02","0,99","0,99","1,00","-36,05","5,92","-30,07",,"21,07","26,03",,
20,Planar,10,10,7 / 20,"1,69","0,96","5,75e-02","0,99","0,99","1,00","-36,2","6,27","-30,16",,"21,19","26,17",,
20,Planar,10,10,8 / 20,"1,56","0,85","5,90e-02","0,99","0,99","1,00","-36,32","6,59","-30,11",,"21,28","26,29",,
20,Planar,10,10,9 / 20,"1,54","0,88","6,10e-02","0,99","0,99","1,00","-36,6","7,19","-30,28",,"21,44","26,44",,
20,Planar,10,10,10 / 20,"1,42","0,74","6,32e-02","0,99","0,99","1,00","-36,92","7,49","-30,48",,"21,50","26,56",,
20,Planar,10,10,11 / 20,"1,37","0,75","6,38e-02","0,99","0,99","1,00","-36,93","7,75","-30,46",,"21,64","26,69",,
20,Planar,10,10,12 / 20,"1,59","0,89","5,72e-02","0,99","0,99","1,00","-37,21","8,62","-30,5",,"21,82","26,90",,
20,Planar,10,10,13 / 20,"1,34","0,73","6,68e-02","0,99","0,99","1,00","-37,71","9,28","-30,76",,"21,96","27,10",,
20,Planar,10,10,14 / 20,"1,27","0,82","6,87e-02","0,99","0,99","1,00","-37,95","9,59","-30,74",,"22,09","27,23",,
20,Planar,10,10,15 / 20,"1,29","0,72","6,82e-02","0,99","0,99","1,00","-38,1","10,03","-30,86",,"22,17","27,35",,
20,Planar,10,10,16 / 20,"1,23","0,68","6,94e-02","0,99","0,99","1,00","-38,36","10,45","-31,0",,"22,27","27,48",,
20,Planar,10,10,17 / 20,"1,57","0,95","6,13e-02","0,99","0,99","1,00","-39,02","11,3","-31,28",,"22,53","27,76",,
20,Planar,10,10,18 / 20,"1,19","0,65","6,90e-02","0,99","0,99","1,00","-39,42","11,74","-31,54",,"22,59","27,91",,
20,Planar,10,10,19 / 20,"1,22","0,72","7,23e-02","0,99","0,99","0,99","-39,7","12,04","-31,71",,"22,73","28,05",,
20,Planar,10,10,FINAL,"1,41","0,77","6,59e-02","0,99","0,99","0,99","-40,15","12,79","-31,91","18,60","22,93","28,30","-119,34","123,31"
20,Gradual,0,"2,5",INITIAL,"2,40","3,21","1,18e-01","1,00","1,00","1,00","0,0","0,0","0,0","3,03","4,73","5,50",,
20,Gradual,0,"2,5",1 / 20,"0,90","1,35","1,10e-02","1,00","1,00","1,00","-10,71","-2,36","-3,84",,"3,06","3,59",,
20,Gradual,0,"2,5",2 / 20,"0,80","1,39","1,85e-03","1,00","1,00","1,00","-11,06","-1,77","-4,07",,"2,48","2,91",,
20,Gradual,0,"2,5",3 / 20,"0,84","1,16","7,95e-04","1,00","1,00","1,00","-10,97","-1,7","-4,14",,"2,41","2,82",,
20,Gradual,0,"2,5",4 / 20,"0,79","0,58","5,54e-04","1,00","1,00","1,00","-10,99","-1,62","-4,1",,"2,27","2,69",,
20,Gradual,0,"2,5",5 / 20,"0,78","0,52","4,40e-04","1,00","1,00","1,00","-10,99","-1,65","-4,16",,"2,26","2,67",,
20,Gradual,0,"2,5",6 / 20,"0,75","0,47","4,14e-04","1,00","1,00","1,00","-11,0","-1,64","-4,11",,"2,24","2,66",,
20,Gradual,0,"2,5",7 / 20,"0,71","0,42","4,03e-04","1,00","1,00","1,00","-10,99","-1,63","-4,14",,"2,22","2,64",,
20,Gradual,0,"2,5",8 / 20,"0,66","0,37","3,90e-04","1,00","1,00","1,00","-11,0","-1,62","-4,1",,"2,20","2,62",,
20,Gradual,0,"2,5",9 / 20,"0,63","0,35","3,84e-04","1,00","1,00","1,00","-10,99","-1,61","-4,11",,"2,19","2,60",,
20,Gradual,0,"2,5",10 / 20,"0,60","0,33","3,81e-04","1,00","1,00","1,00","-11,0","-1,6","-4,07",,"2,18","2,59",,
20,Gradual,0,"2,5",11 / 20,"0,58","0,32","3,79e-04","1,00","1,00","1,00","-11,0","-1,59","-4,07",,"2,17","2,58",,
20,Gradual,0,"2,5",12 / 20,"0,57","0,32","3,79e-04","1,00","1,00","1,00","-11,0","-1,58","-4,09",,"2,16","2,58",,
20,Gradual,0,"2,5",13 / 20,"0,55","0,31","3,79e-04","1,00","1,00","1,00","-11,01","-1,58","-4,06",,"2,16","2,57",,
20,Gradual,0,"2,5",14 / 20,"0,53","0,29","3,80e-04","1,00","1,00","1,00","-11,02","-1,57","-4,04",,"2,15","2,56",,
20,Gradual,0,"2,5",15 / 20,"0,52","0,29","3,80e-04","1,00","1,00","1,00","-11,01","-1,57","-4,04",,"2,14","2,56",,
20,Gradual,0,"2,5",16 / 20,"0,52","0,29","3,81e-04","1,00","1,00","1,00","-11,02","-1,56","-4,03",,"2,14","2,55",,
20,Gradual,0,"2,5",17 / 20,"0,50","0,28","3,82e-04","1,00","1,00","1,00","-11,02","-1,56","-4,01",,"2,14","2,55",,
20,Gradual,0,"2,5",18 / 20,"0,49","0,27","3,83e-04","1,00","1,00","1,00","-11,03","-1,55","-4,0",,"2,13","2,54",,
20,Gradual,0,"2,5",19 / 20,"0,49","0,27","3,84e-04","1,00","1,00","1,00","-11,04","-1,55","-3,99",,"2,12","2,53",,
20,Gradual,0,"2,5",FINAL,"0,48","0,27","3,86e-04","1,00","1,00","1,00","-11,04","-1,54","-3,97","3,03","2,12","2,52","55,25","69,78"
20,Gradual,"2,5","2,5",INITIAL,"3,06","4,48","2,33e-01","1,00","1,00","1,00","0,0","0,0","0,0","5,21","5,21","5,99",,
20,Gradual,"2,5","2,5",1 / 20,"0,93","1,10","2,76e-02","1,00","1,00","1,00","-10,18","2,21","-4,79",,"5,35","6,26",,
20,Gradual,"2,5","2,5",2 / 20,"0,99","1,04","6,81e-03","1,00","1,00","1,00","-11,74","1,25","-4,32",,"5,23","6,08",,
20,Gradual,"2,5","2,5",3 / 20,"1,28","0,89","2,24e-03","1,00","1,00","1,00","-12,02","1,3","-4,32",,"5,26","6,05",,
20,Gradual,"2,5","2,5",4 / 20,"1,24","0,80","1,76e-03","1,00","1,00","1,00","-11,94","1,3","-4,35",,"5,26","6,04",,
20,Gradual,"2,5","2,5",5 / 20,"1,23","0,77","1,56e-03","1,00","1,00","1,00","-12,05","1,27","-4,3",,"5,27","6,04",,
20,Gradual,"2,5","2,5",6 / 20,"1,21","0,73","1,56e-03","1,00","1,00","1,00","-12,1","1,22","-4,3",,"5,26","6,03",,
20,Gradual,"2,5","2,5",7 / 20,"1,26","0,76","1,22e-03","1,00","1,00","1,00","-12,21","1,18","-4,25",,"5,28","6,03",,
