{'TwoPoints'},,,,,,,,,,,,,,,,,,
Datos,Shape,Gaussian,Rigid,Section,C1 std dev,C2 std dev,Rel. error,Global rotation X,Global rotation Y,Global rotation Z,Global translation X,Global translation Y,Global translation Z,Av. movement,Av. error,RMSE,Improv. (%),Final Vs Mov (%)
,,Mov.(mm)
Depth (mm),Shape,Gaussian,Rigid,,,,,X,Y,Z,X,Y,Z,,,,,
20,Planar,"2,5",0,INITIAL,"3,54","3,24","0,00e+00","1,00","1,00","1,00","0,0","0,0","0,0","3,95","2,88","3,13",,
20,Planar,"2,5",0,1 / 20,"0,82","0,88","6,82e-03","1,00","1,00","1,00","0,04","0,09","-0,38",,"2,18","2,58",,
20,Planar,"2,5",0,2 / 20,"0,96","1,05","4,70e-03","1,00","1,00","1,00","0,17","0,14","-0,11",,"2,28","2,70",,
20,Planar,"2,5",0,3 / 20,"0,98","1,06","3,98e-03","1,00","1,00","1,00","0,14","0,2","-0,23",,"2,36","2,82",,
20,Planar,"2,5",0,4 / 20,"0,91","0,99","3,22e-03","1,00","1,00","1,00","0,2","0,4","-0,27",,"2,62","3,19",,
20,Planar,"2,5",0,5 / 20,"0,92","1,00","2,78e-03","1,00","1,00","1,00","0,25","0,54","-0,3",,"2,79","3,41",,
20,Planar,"2,5",0,6 / 20,"0,95","1,02","2,51e-03","1,00","1,00","1,00","0,3","0,61","-0,29",,"2,90","3,56",,
20,Planar,"2,5",0,7 / 20,"0,97","1,04","2,30e-03","1,00","1,00","1,00","0,3","0,66","-0,32",,"2,93","3,59",,
20,Planar,"2,5",0,8 / 20,"0,96","1,03","2,31e-03","1,00","1,00","1,00","0,32","0,7","-0,33",,"2,97","3,64",,
20,Planar,"2,5",0,9 / 20,"0,96","1,03","2,34e-03","1,00","1,00","1,00","0,35","0,76","-0,34",,"3,04","3,72",,
20,Planar,"2,5",0,10 / 20,"0,97","1,03","2,22e-03","1,00","1,00","1,00","0,34","0,8","-0,34",,"3,07","3,76",,
20,Planar,"2,5",0,11 / 20,"0,96","1,03","2,20e-03","1,00","1,00","1,00","0,37","0,82","-0,35",,"3,08","3,77",,
20,Planar,"2,5",0,12 / 20,"0,96","1,03","2,28e-03","1,00","1,00","1,00","0,38","0,84","-0,36",,"3,09","3,79",,
20,Planar,"2,5",0,13 / 20,"0,96","1,03","2,21e-03","1,00","1,00","1,00","0,37","0,86","-0,35",,"3,11","3,80",,
20,Planar,"2,5",0,14 / 20,"0,96","1,03","2,27e-03","1,00","1,00","1,00","0,39","0,89","-0,36",,"3,13","3,83",,
20,Planar,"2,5",0,15 / 20,"0,97","1,03","2,20e-03","1,00","1,00","1,00","0,41","0,91","-0,37",,"3,14","3,84",,
20,Planar,"2,5",0,16 / 20,"0,97","1,03","2,18e-03","1,00","1,00","1,00","0,41","0,94","-0,37",,"3,15","3,85",,
20,Planar,"2,5",0,17 / 20,"0,97","1,03","2,26e-03","1,00","1,00","1,00","0,41","0,97","-0,37",,"3,16","3,87",,
20,Planar,"2,5",0,18 / 20,"0,97","1,03","2,18e-03","1,00","1,00","1,00","0,43","0,98","-0,38",,"3,17","3,88",,
20,Planar,"2,5",0,19 / 20,"0,97","1,03","2,17e-03","1,00","1,00","1,00","0,42","1,0","-0,38",,"3,18","3,89",,
20,Planar,"2,5",0,FINAL,"0,97","1,03","2,25e-03","1,00","1,00","1,00","0,45","1,02","-0,39","3,95","3,19","3,90","-10,77","80,69"
20,Planar,0,"2,5",INITIAL,"2,45","2,12","0,00e+00","1,00","1,00","1,00","0,0","0,0","0,0","2,50","2,31","2,59",,
20,Planar,0,"2,5",1 / 20,"0,08","0,08","7,74e-04","1,00","1,00","1,00","-1,7","1,69","-1,76",,"1,08","1,23",,
20,Planar,0,"2,5",2 / 20,"0,17","0,17","3,86e-04","1,00","1,00","1,00","-1,64","1,73","-1,68",,"0,96","1,09",,
20,Planar,0,"2,5",3 / 20,"0,39","0,38","6,01e-05","1,00","1,00","1,00","-1,65","1,77","-1,68",,"0,91","1,03",,
20,Planar,0,"2,5",4 / 20,"0,38","0,37","5,47e-05","1,00","1,00","1,00","-1,64","1,78","-1,67",,"0,90","1,02",,
20,Planar,0,"2,5",5 / 20,"0,37","0,36","5,26e-05","1,00","1,00","1,00","-1,65","1,78","-1,68",,"0,90","1,01",,
20,Planar,0,"2,5",6 / 20,"0,36","0,35","5,15e-05","1,00","1,00","1,00","-1,64","1,79","-1,67",,"0,89","1,00",,
20,Planar,0,"2,5",7 / 20,"0,35","0,34","5,08e-05","1,00","1,00","1,00","-1,65","1,8","-1,68",,"0,89","1,00",,
20,Planar,0,"2,5",8 / 20,"0,35","0,34","5,03e-05","1,00","1,00","1,00","-1,65","1,81","-1,68",,"0,89","0,99",,
20,Planar,0,"2,5",9 / 20,"0,34","0,33","5,00e-05","1,00","1,00","1,00","-1,65","1,82","-1,67",,"0,88","0,99",,
20,Planar,0,"2,5",10 / 20,"0,34","0,33","4,95e-05","1,00","1,00","1,00","-1,65","1,83","-1,67",,"0,88","0,99",,
20,Planar,0,"2,5",11 / 20,"0,33","0,33","4,94e-05","1,00","1,00","1,00","-1,65","1,83","-1,67",,"0,88","0,99",,
20,Planar,0,"2,5",12 / 20,"0,33","0,32","4,93e-05","1,00","1,00","1,00","-1,65","1,84","-1,67",,"0,88","0,98",,
20,Planar,0,"2,5",13 / 20,"0,33","0,32","4,94e-05","1,00","1,00","1,00","-1,65","1,85","-1,67",,"0,88","0,98",,
20,Planar,0,"2,5",14 / 20,"0,33","0,32","4,93e-05","1,00","1,00","1,00","-1,65","1,85","-1,66",,"0,88","0,98",,
20,Planar,0,"2,5",15 / 20,"0,33","0,32","4,92e-05","1,00","1,00","1,00","-1,65","1,86","-1,66",,"0,88","0,98",,
20,Planar,0,"2,5",FINAL,"0,33","0,32","4,92e-05","1,00","1,00","1,00","-1,65","1,86","-1,66","2,50","0,88","0,98","61,79","35,25"
20,Planar,"2,5","2,5",INITIAL,"4,17","6,15","0,00e+00","1,00","1,00","1,00","0,0","0,0","0,0","4,73","3,23","3,53",,
20,Planar,"2,5","2,5",1 / 20,"1,20","0,85","6,99e-03","1,00","1,00","1,00","-0,37","0,8","-0,13",,"2,32","2,74",,
20,Planar,"2,5","2,5",2 / 20,"1,26","0,89","5,60e-03","1,00","1,00","1,00","-0,48","0,78","-0,47",,"2,35","2,78",,
20,Planar,"2,5","2,5",3 / 20,"1,19","0,83","4,94e-03","1,00","1,00","1,00","-0,45","0,76","-0,43",,"2,39","2,89",,
20,Planar,"2,5","2,5",4 / 20,"1,18","0,80","4,53e-03","1,00","1,00","1,00","-0,49","0,74","-0,5",,"2,47","3,00",,
20,Planar,"2,5","2,5",5 / 20,"1,21","0,81","4,10e-03","1,00","1,00","1,00","-0,55","0,73","-0,64",,"2,55","3,10",,
20,Planar,"2,5","2,5",6 / 20,"1,21","0,81","3,78e-03","1,00","1,00","1,00","-0,58","0,71","-0,69",,"2,66","3,24",,
20,Planar,"2,5","2,5",7 / 20,"1,24","0,82","3,62e-03","1,00","1,00","1,00","-0,62","0,68","-0,75",,"2,69","3,27",,
20,Planar,"2,5","2,5",8 / 20,"1,23","0,82","3,59e-03","1,00","1,00","1,00","-0,63","0,67","-0,76",,"2,74","3,33",,
20,Planar,"2,5","2,5",9 / 20,"1,24","0,82","3,45e-03","1,00","1,00","1,00","-0,69","0,63","-0,83",,"2,82","3,43",,
20,Planar,"2,5","2,5",10 / 20,"1,24","0,82","3,39e-03","1,00","1,00","1,00","-0,71","0,65","-0,8",,"2,83","3,44",,
20,Planar,"2,5","2,5",11 / 20,"1,24","0,81","3,45e-03","1,00","1,00","1,00","-0,71","0,62","-0,85",,"2,85","3,47",,
20,Planar,"2,5","2,5",12 / 20,"1,24","0,82","3,29e-03","1,00","1,00","1,00","-0,74","0,63","-0,85",,"2,86","3,48",,
20,Planar,"2,5","2,5",13 / 20,"1,25","0,82","3,30e-03","1,00","1,00","1,00","-0,71","0,62","-0,87",,"2,88","3,50",,
20,Planar,"2,5","2,5",14 / 20,"1,26","0,82","3,35e-03","1,00","1,00","1,00","-0,75","0,61","-0,87",,"2,89","3,51",,
20,Planar,"2,5","2,5",15 / 20,"1,25","0,82","3,21e-03","1,00","1,00","1,00","-0,77","0,61","-0,9",,"2,93","3,56",,
20,Planar,"2,5","2,5",16 / 20,"1,25","0,81","3,34e-03","1,00","1,00","1,00","-0,81","0,61","-0,89",,"2,93","3,57",,
20,Planar,"2,5","2,5",17 / 20,"1,25","0,81","3,27e-03","1,00","1,00","1,00","-0,78","0,61","-0,91",,"2,94","3,58",,
20,Planar,"2,5","2,5",18 / 20,"1,25","0,81","3,30e-03","1,00","1,00","1,00","-0,83","0,6","-0,9",,"2,95","3,59",,
20,Planar,"2,5","2,5",19 / 20,"1,24","0,81","3,29e-03","1,00","1,00","1,00","-0,83","0,6","-0,91",,"2,96","3,60",,
20,Planar,"2,5","2,5",FINAL,"1,25","0,81","3,31e-03","1,00","1,00","1,00","-0,86","0,59","-0,93","4,73","2,98","3,62","7,63","63,04"
20,Planar,10,0,INITIAL,"12,31","12,21","0,00e+00","1,00","1,00","1,00","0,0","0,0","0,0","16,05","8,28","9,04",,
20,Planar,10,0,1 / 20,"0,99","1,02","1,22e-01","1,00","1,00","1,00","-4,75","-0,01","-0,28",,"11,71","14,26",,
20,Planar,10,0,2 / 20,"0,94","1,03","1,25e-01","1,00","1,00","1,00","-4,46","0,81","-1,15",,"12,36","15,11",,
20,Planar,10,0,3 / 20,"0,83","1,03","1,25e-01","1,00","1,00","1,00","-6,89","1,22","-2,06",,"13,10","16,08",,
20,Planar,10,0,4 / 20,"0,92","1,04","1,20e-01","1,00","1,00","1,00","-6,59","1,21","-2,61",,"13,31","16,31",,
20,Planar,10,0,5 / 20,"0,80","1,08","1,29e-01","1,00","1,00","1,00","-7,56","1,74","-3,57",,"13,81","16,97",,
20,Planar,10,0,6 / 20,"0,85","1,02","1,26e-01","1,00","1,00","1,00","-7,4","2,04","-3,41",,"14,12","17,28",,
20,Planar,10,0,7 / 20,"0,87","1,01","1,27e-01","1,00","1,00","1,00","-8,53","2,09","-4,14",,"14,46","17,72",,
20,Planar,10,0,8 / 20,"0,82","1,10","1,29e-01","1,00","1,00","1,00","-9,41","2,44","-4,86",,"14,83","18,11",,
20,Planar,10,0,9 / 20,"0,88","1,02","1,27e-01","1,00","1,00","1,00","-9,69","2,59","-5,08",,"15,15","18,42",,
20,Planar,10,0,10 / 20,"0,88","0,99","1,24e-01","1,00","1,00","1,00","-10,7","3,55","-5,34",,"15,61","18,98",,
20,Planar,10,0,11 / 20,"0,93","1,04","1,23e-01","1,00","1,00","1,00","-11,6","3,75","-6,08",,"16,04","19,51",,
20,Planar,10,0,12 / 20,"0,76","1,16","1,24e-01","1,00","1,00","1,00","-12,1","3,71","-6,43",,"16,27","19,71",,
20,Planar,10,0,13 / 20,"0,85","1,02","1,20e-01","1,00","1,00","1,00","-13,08","4,37","-6,96",,"16,86","20,38",,
20,Planar,10,0,14 / 20,"0,95","0,96","1,21e-01","1,00","1,00","1,00","-14,49","4,96","-7,66",,"17,47","21,12",,
20,Planar,10,0,15 / 20,"0,88","1,04","1,19e-01","1,00","1,00","1,00","-15,3","5,2","-8,1",,"17,76","21,44",,
20,Planar,10,0,16 / 20,"0,94","1,05","1,15e-01","1,00","1,00","1,00","-16,28","5,77","-8,46",,"18,16","21,91",,
20,Planar,10,0,17 / 20,"0,94","1,02","1,16e-01","1,00","1,00","1,00","-16,75","6,08","-8,71",,"18,38","22,17",,
20,Planar,10,0,18 / 20,"1,05","1,23","1,11e-01","1,00","1,00","1,00","-17,73","6,23","-9,14",,"18,76","22,61",,
20,Planar,10,0,19 / 20,"1,27","1,75","1,02e-01","1,00","1,00","1,00","-18,05","6,5","-9,6",,"18,94","22,81",,
20,Planar,10,0,FINAL,"0,95","1,04","1,16e-01","1,00","1,00","1,00","-18,96","6,8","-9,75","16,05","19,16","23,08","-131,28","119,33"
20,Planar,0,10,INITIAL,"6,45","4,92","0,00e+00","1,00","1,00","1,00","0,0","0,0","0,0","10,00","5,24","5,48",,
20,Planar,0,10,1 / 20,"0,47","0,47","1,19e-03","1,00","1,00","1,00","-2,61","4,45","-1,57",,"3,51","3,79",,
20,Planar,0,10,2 / 20,"0,83","0,79","1,96e-04","1,00","1,00","1,00","-2,87","4,07","-2,08",,"3,08","3,30",,
20,Planar,0,10,3 / 20,"0,84","0,80","1,08e-04","1,00","1,00","1,00","-2,99","3,98","-2,32",,"2,95","3,18",,
20,Planar,0,10,4 / 20,"0,88","0,84","6,66e-05","1,00","1,00","1,00","-2,99","3,95","-2,35",,"2,91","3,14",,
20,Planar,0,10,5 / 20,"0,80","0,75","6,63e-05","1,00","1,00","1,00","-3,05","3,87","-2,52",,"2,80","3,04",,
20,Planar,0,10,6 / 20,"0,75","0,71","6,65e-05","1,00","1,00","1,00","-3,13","3,84","-2,7",,"2,73","2,98",,
20,Planar,0,10,7 / 20,"0,72","0,68","6,71e-05","1,00","1,00","1,00","-3,15","3,81","-2,77",,"2,68","2,94",,
20,Planar,0,10,8 / 20,"0,67","0,64","6,97e-05","1,00","1,00","1,00","-3,18","3,77","-2,87",,"2,62","2,89",,
20,Planar,0,10,9 / 20,"0,66","0,62","7,06e-05","1,00","1,00","1,00","-3,2","3,76","-2,92",,"2,60","2,87",,
20,Planar,0,10,10 / 20,"0,60","0,57","7,29e-05","1,00","1,00","1,00","-3,26","3,71","-3,1",,"2,51","2,79",,
20,Planar,0,10,11 / 20,"0,57","0,54","7,62e-05","1,00","1,00","1,00","-3,28","3,68","-3,19",,"2,46","2,75",,
20,Planar,0,10,12 / 20,"0,56","0,53","7,76e-05","1,00","1,00","1,00","-3,31","3,67","-3,25",,"2,44","2,73",,
20,Planar,0,10,13 / 20,"0,54","0,51","8,01e-05","1,00","1,00","1,00","-3,32","3,64","-3,32",,"2,40","2,69",,
20,Planar,0,10,14 / 20,"0,53","0,50","8,12e-05","1,00","1,00","1,00","-3,35","3,63","-3,38",,"2,38","2,68",,
20,Planar,0,10,15 / 20,"0,51","0,49","8,30e-05","1,00","1,00","1,00","-3,37","3,61","-3,44",,"2,35","2,65",,
20,Planar,0,10,16 / 20,"0,50","0,47","8,47e-05","1,00","1,00","1,00","-3,38","3,59","-3,49",,"2,32","2,63",,
20,Planar,0,10,17 / 20,"0,47","0,45","8,82e-05","1,00","1,00","1,00","-3,41","3,56","-3,61",,"2,27","2,58",,
20,Planar,0,10,18 / 20,"0,44","0,42","9,88e-05","1,00","1,00","1,00","-3,44","3,53","-3,71",,"2,23","2,54",,
20,Planar,0,10,19 / 20,"0,44","0,41","9,53e-05","1,00","1,00","1,00","-3,46","3,51","-3,79",,"2,19","2,51",,
20,Planar,0,10,FINAL,"0,43","0,41","9,65e-05","1,00","1,00","1,00","-3,47","3,49","-3,84","10,00","2,16","2,49","58,73","21,63"
20,Planar,10,10,INITIAL,"14,15","13,94","0,00e+00","1,00","1,00","1,00","0,0","0,0","0,0","19,14","9,77","10,58",,
20,Planar,10,10,1 / 20,"1,00","1,00","1,60e-01","1,00","1,00","1,00","-5,12","3,98","-1,82",,"9,14","11,62",,
20,Planar,10,10,2 / 20,"0,93","0,99","1,50e-01","1,00","1,00","1,00","-6,69","4,12","-3,02",,"9,89","12,58",,
20,Planar,10,10,3 / 20,"0,97","1,05","1,49e-01","1,00","1,00","1,00","-6,95","4,6","-4,68",,"10,23","12,99",,
20,Planar,10,10,4 / 20,"0,95","1,04","1,49e-01","1,00","1,00","1,00","-7,78","4,44","-4,38",,"10,51","13,33",,
20,Planar,10,10,5 / 20,"0,96","1,04","1,49e-01","1,00","1,00","1,00","-8,55","4,66","-5,58",,"10,93","13,86",,
20,Planar,10,10,6 / 20,"0,95","1,02","1,49e-01","1,00","1,00","1,00","-10,4","5,01","-7,04",,"11,63","14,70",,
20,Planar,10,10,7 / 20,"0,98","1,05","1,45e-01","1,00","1,00","1,00","-12,06","5,3","-7,76",,"12,06","15,21",,
20,Planar,10,10,8 / 20,"0,96","1,02","1,47e-01","1,00","1,00","1,00","-12,23","5,47","-8,25",,"12,22","15,39",,
20,Planar,10,10,9 / 20,"0,95","1,00","1,43e-01","1,00","1,00","1,00","-14,78","6,13","-9,55",,"12,88","16,16",,
20,Planar,10,10,10 / 20,"0,97","1,02","1,43e-01","1,00","1,00","1,00","-15,56","6,55","-9,61",,"13,25","16,58",,
20,Planar,10,10,11 / 20,"1,10","1,14","1,36e-01","1,00","1,00","1,00","-16,47","6,64","-10,4",,"13,39","16,74",,
20,Planar,10,10,12 / 20,"1,15","1,19","1,37e-01","1,00","1,00","1,00","-16,64","6,94","-10,5",,"13,52","16,89",,
20,Planar,10,10,13 / 20,"1,02","1,10","1,37e-01","1,00","1,00","1,00","-17,33","6,81","-10,8",,"13,64","17,05",,
20,Planar,10,10,14 / 20,"1,04","1,07","1,37e-01","1,00","1,00","1,00","-18,54","7,33","-11,41",,"13,99","17,43",,
20,Planar,10,10,15 / 20,"1,00","1,03","1,38e-01","1,00","1,00","1,00","-18,59","7,51","-11,41",,"14,13","17,59",,
20,Planar,10,10,16 / 20,"0,97","0,99","1,37e-01","1,00","1,00","1,00","-19,44","7,54","-11,71",,"14,25","17,72",,
20,Planar,10,10,17 / 20,"0,99","1,01","1,39e-01","1,00","1,00","1,00","-19,63","7,78","-11,83",,"14,40","17,87",,
20,Planar,10,10,18 / 20,"1,24","1,27","1,23e-01","1,00","1,00","1,00","-21,75","8,4","-12,65",,"14,99","18,45",,
20,Planar,10,10,19 / 20,"1,36","1,42","1,23e-01","1,00","1,00","1,00","-22,15","8,54","-12,92",,"15,20","18,68",,
20,Planar,10,10,FINAL,"1,31","1,32","1,25e-01","1,00","1,00","1,00","-22,93","8,81","-13,22","19,14","15,47","18,96","-58,31","80,82"
20,Gradual,0,"2,5",INITIAL,"3,16","2,71","0,00e+00","1,00","1,00","1,00","0,0","0,0","0,0","3,24","2,63","2,99",,
20,Gradual,0,"2,5",1 / 20,"0,13","0,15","1,15e-03","1,00","1,00","1,00","-2,06","0,63","-2,19",,"1,44","1,71",,
20,Gradual,0,"2,5",2 / 20,"0,30","0,32","5,19e-04","1,00","1,00","1,00","-2,93","-0,01","-2,66",,"1,29","1,56",,
20,Gradual,0,"2,5",3 / 20,"0,37","0,39","3,98e-04","1,00","1,00","1,00","-3,0","-0,09","-2,68",,"1,29","1,55",,
20,Gradual,0,"2,5",4 / 20,"0,35","0,36","3,93e-04","1,00","1,00","1,00","-3,17","-0,26","-2,78",,"1,29","1,54",,
20,Gradual,0,"2,5",5 / 20,"0,44","0,45","3,07e-04","1,00","1,00","1,00","-3,26","-0,35","-2,81",,"1,29","1,54",,
20,Gradual,0,"2,5",6 / 20,"0,45","0,45","3,03e-04","1,00","1,00","1,00","-3,32","-0,41","-2,84",,"1,29","1,54",,
20,Gradual,0,"2,5",7 / 20,"0,42","0,42","3,18e-04","1,00","1,00","1,00","-3,34","-0,45","-2,86",,"1,30","1,55",,
20,Gradual,0,"2,5",8 / 20,"0,44","0,44","3,10e-04","1,00","1,00","1,00","-3,39","-0,49","-2,89",,"1,30","1,55",,
20,Gradual,0,"2,5",9 / 20,"0,44","0,44","3,06e-04","1,00","1,00","1,00","-3,44","-0,54","-2,92",,"1,30","1,55",,
20,Gradual,0,"2,5",10 / 20,"0,44","0,43","3,10e-04","1,00","1,00","1,00","-3,48","-0,59","-2,93",,"1,31","1,55",,
20,Gradual,0,"2,5",11 / 20,"0,43","0,42","3,18e-04","1,00","1,00","1,00","-3,57","-0,67","-2,98",,"1,32","1,56",,
20,Gradual,0,"2,5",12 / 20,"0,41","0,41","3,28e-04","1,00","1,00","1,00","-3,57","-0,69","-2,99",,"1,32","1,56",,
20,Gradual,0,"2,5",13 / 20,"0,42","0,41","3,23e-04","1,00","1,00","1,00","-3,61","-0,71","-3,0",,"1,32","1,56",,
20,Gradual,0,"2,5",14 / 20,"0,41","0,40","3,30e-04","1,00","1,00","1,00","-3,61","-0,73","-3,01",,"1,32","1,56",,
20,Gradual,0,"2,5",15 / 20,"0,40","0,40","3,34e-04","1,00","1,00","1,00","-3,66","-0,77","-3,03",,"1,33","1,56",,
20,Gradual,0,"2,5",16 / 20,"0,40","0,39","3,38e-04","1,00","1,00","1,00","-3,72","-0,85","-3,06",,"1,33","1,57",,
20,Gradual,0,"2,5",17 / 20,"0,40","0,39","3,43e-04","1,00","1,00","1,00","-3,76","-0,9","-3,08",,"1,34","1,57",,
20,Gradual,0,"2,5",18 / 20,"0,40","0,39","3,45e-04","1,00","1,00","1,00","-3,79","-0,92","-3,09",,"1,34","1,57",,
20,Gradual,0,"2,5",19 / 20,"0,39","0,38","3,47e-04","1,00","1,00","1,00","-3,81","-0,96","-3,1",,"1,34","1,57",,
20,Gradual,0,"2,5",FINAL,"0,39","0,38","3,51e-04","1,00","1,00","1,00","-3,84","-1,0","-3,11","3,24","1,34","1,57","48,90","41,49"
20,Gradual,"2,5","2,5",INITIAL,"4,42","4,95","0,00e+00","1,00","1,00","1,00","0,0","0,0","0,0","5,36","3,38","3,72",,
20,Gradual,"2,5","2,5",1 / 20,"1,19","0,98","6,93e-03","1,00","1,00","1,00","-0,33","1,56","-0,06",,"2,40","2,93",,
20,Gradual,"2,5","2,5",2 / 20,"1,10","0,90","5,92e-03","1,00","1,00","1,00","-0,69","1,61","-0,76",,"2,48","3,04",,
20,Gradual,"2,5","2,5",3 / 20,"1,13","0,93","4,40e-03","1,00","1,00","1,00","-0,62","1,65","-0,65",,"2,65","3,25",,
20,Gradual,"2,5","2,5",4 / 20,"1,03","0,86","3,98e-03","1,00","1,00","1,00","-0,77","1,67","-1,04",,"2,79","3,44",,
20,Gradual,"2,5","2,5",5 / 20,"1,12","0,95","2,91e-03","1,00","1,00","1,00","-0,87","1,67","-1,31",,"2,97","3,64",,
20,Gradual,"2,5","2,5",6 / 20,"1,07","0,89","3,04e-03","1,00","1,00","1,00","-0,84","1,65","-1,3",,"3,01","3,69",,
20,Gradual,"2,5","2,5",7 / 20,"1,14","0,95","2,55e-03","1,00","1,00","1,00","-0,95","1,64","-1,48",,"3,07","3,75",,
20,Gradual,"2,5","2,5",8 / 20,"1,12","0,93","2,40e-03","1,00","1,00","1,00","-0,93","1,63","-1,53",,"3,14","3,85",,
20,Gradual,"2,5","2,5",9 / 20,"1,12","0,92","2,31e-03","1,00","1,00","1,00","-1,05","1,62","-1,7",,"3,18","3,89",,
20,Gradual,"2,5","2,5",10 / 20,"1,03","0,85","2,48e-03","1,00","1,00","1,00","-1,07","1,6","-1,82",,"3,26","4,00",,
20,Gradual,"2,5","2,5",11 / 20,"1,10","0,91","2,11e-03","1,00","1,00","1,00","-1,12","1,59","-1,92",,"3,30","4,03",,
